time_step, rms_u, rms_v, rms_w, rms_p
292, 4.07829E-01, 4.53265E-01, 6.24096E-01, 2.43121E-01
293, 4.06713E-01, 4.53036E-01, 6.24055E-01, 2.42507E-01
294, 4.05595E-01, 4.52829E-01, 6.24010E-01, 2.41895E-01
295, 4.04475E-01, 4.52645E-01, 6.23960E-01, 2.41285E-01
296, 4.03352E-01, 4.52482E-01, 6.23907E-01, 2.40677E-01
297, 4.02227E-01, 4.52341E-01, 6.23849E-01, 2.40071E-01
298, 4.01100E-01, 4.52222E-01, 6.23787E-01, 2.39467E-01
299, 3.99971E-01, 4.52125E-01, 6.23721E-01, 2.38865E-01
300, 3.98840E-01, 4.52049E-01, 6.23652E-01, 2.38264E-01
301, 3.97706E-01, 4.51994E-01, 6.23578E-01, 2.37665E-01
302, 3.96571E-01, 4.51960E-01, 6.23502E-01, 2.37066E-01
303, 3.95433E-01, 4.51947E-01, 6.23422E-01, 2.36469E-01
304, 3.94293E-01, 4.51954E-01, 6.23338E-01, 2.35872E-01
305, 3.93152E-01, 4.51982E-01, 6.23251E-01, 2.35276E-01
306, 3.92009E-01, 4.52030E-01, 6.23161E-01, 2.34680E-01
307, 3.90864E-01, 4.52098E-01, 6.23067E-01, 2.34085E-01
308, 3.89718E-01, 4.52185E-01, 6.22971E-01, 2.33489E-01
309, 3.88570E-01, 4.52291E-01, 6.22871E-01, 2.32893E-01
310, 3.87420E-01, 4.52416E-01, 6.22768E-01, 2.32296E-01
311, 3.86270E-01, 4.52560E-01, 6.22662E-01, 2.31699E-01
312, 3.85118E-01, 4.52722E-01, 6.22553E-01, 2.31101E-01
313, 3.83966E-01, 4.52903E-01, 6.22440E-01, 2.30502E-01
314, 3.82812E-01, 4.53101E-01, 6.22325E-01, 2.29902E-01
315, 3.81657E-01, 4.53317E-01, 6.22207E-01, 2.29300E-01
316, 3.80502E-01, 4.53550E-01, 6.22085E-01, 2.28698E-01
317, 3.79346E-01, 4.53801E-01, 6.21960E-01, 2.28094E-01
318, 3.78190E-01, 4.54069E-01, 6.21833E-01, 2.27490E-01
319, 3.77033E-01, 4.54354E-01, 6.21702E-01, 2.26884E-01
320, 3.75876E-01, 4.54656E-01, 6.21567E-01, 2.26278E-01
321, 3.74719E-01, 4.54974E-01, 6.21430E-01, 2.25672E-01
322, 3.73561E-01, 4.55309E-01, 6.21289E-01, 2.25065E-01
323, 3.72404E-01, 4.55660E-01, 6.21144E-01, 2.24459E-01
324, 3.71247E-01, 4.56027E-01, 6.20996E-01, 2.23854E-01
325, 3.70090E-01, 4.56411E-01, 6.20844E-01, 2.23250E-01
326, 3.68933E-01, 4.56811E-01, 6.20689E-01, 2.22647E-01
327, 3.67777E-01, 4.57227E-01, 6.20530E-01, 2.22047E-01
328, 3.66622E-01, 4.57659E-01, 6.20366E-01, 2.21450E-01
329, 3.65467E-01, 4.58107E-01, 6.20198E-01, 2.20856E-01
330, 3.64313E-01, 4.58572E-01, 6.20026E-01, 2.20267E-01
331, 3.63161E-01, 4.59052E-01, 6.19850E-01, 2.19683E-01
332, 3.62009E-01, 4.59548E-01, 6.19668E-01, 2.19105E-01
333, 3.60858E-01, 4.60060E-01, 6.19482E-01, 2.18533E-01
334, 3.59709E-01, 4.60588E-01, 6.19291E-01, 2.17968E-01
335, 3.58562E-01, 4.61132E-01, 6.19094E-01, 2.17412E-01
336, 3.57416E-01, 4.61691E-01, 6.18892E-01, 2.16864E-01
337, 3.56271E-01, 4.62267E-01, 6.18684E-01, 2.16325E-01
338, 3.55129E-01, 4.62858E-01, 6.18471E-01, 2.15797E-01
