time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
58, 1.67188E-05, 1.02630E-05, 5.38607E-06, 4.67313E-06, 5.83987E-07, 4.63518E-07, 3.67245E-07, 4.39558E-07
59, 1.67569E-05, 1.03000E-05, 5.37759E-06, 4.68107E-06, 5.83477E-07, 4.63234E-07, 3.66947E-07, 4.42538E-07
60, 1.67934E-05, 1.03366E-05, 5.36853E-06, 4.68877E-06, 5.82965E-07, 4.62951E-07, 3.66650E-07, 4.45583E-07
61, 1.68283E-05, 1.03728E-05, 5.35889E-06, 4.69624E-06, 5.82451E-07, 4.62668E-07, 3.66358E-07, 4.48693E-07
62, 1.68617E-05, 1.04086E-05, 5.34868E-06, 4.70347E-06, 5.81931E-07, 4.62390E-07, 3.66069E-07, 4.51869E-07
63, 1.68934E-05, 1.04440E-05, 5.33789E-06, 4.71045E-06, 5.81412E-07, 4.62116E-07, 3.65782E-07, 4.55103E-07
64, 1.69235E-05, 1.04790E-05, 5.32653E-06, 4.71721E-06, 5.80892E-07, 4.61843E-07, 3.65496E-07, 4.58403E-07
65, 1.69520E-05, 1.05136E-05, 5.31459E-06, 4.72372E-06, 5.80384E-07, 4.61571E-07, 3.65210E-07, 4.61766E-07
66, 1.69789E-05, 1.05477E-05, 5.30207E-06, 4.72999E-06, 5.79877E-07, 4.61295E-07, 3.64921E-07, 4.65191E-07
67, 1.70042E-05, 1.05815E-05, 5.28899E-06, 4.73602E-06, 5.79366E-07, 4.61020E-07, 3.64630E-07, 4.68676E-07
68, 1.70279E-05, 1.06148E-05, 5.27534E-06, 4.74181E-06, 5.78851E-07, 4.60744E-07, 3.64338E-07, 4.72213E-07
69, 1.70499E-05, 1.06477E-05, 5.26111E-06, 4.74736E-06, 5.78327E-07, 4.60466E-07, 3.64049E-07, 4.75811E-07
70, 1.70704E-05, 1.06802E-05, 5.24632E-06, 4.75267E-06, 5.77806E-07, 4.60189E-07, 3.63763E-07, 4.79470E-07
71, 1.70892E-05, 1.07122E-05, 5.23097E-06, 4.75774E-06, 5.77280E-07, 4.59913E-07, 3.63480E-07, 4.83183E-07
72, 1.71064E-05, 1.07438E-05, 5.21504E-06, 4.76257E-06, 5.76747E-07, 4.59636E-07, 3.63201E-07, 4.86945E-07
73, 1.71220E-05, 1.07750E-05, 5.19856E-06, 4.76715E-06, 5.76216E-07, 4.59360E-07, 3.62921E-07, 4.90757E-07
74, 1.71524E-05, 1.08057E-05, 5.18152E-06, 4.77149E-06, 5.75691E-07, 4.59085E-07, 3.62641E-07, 4.94619E-07
75, 1.72193E-05, 1.08360E-05, 5.16392E-06, 4.77559E-06, 5.75169E-07, 4.58814E-07, 3.62361E-07, 4.98535E-07
76, 1.72848E-05, 1.08658E-05, 5.14576E-06, 4.77944E-06, 5.74648E-07, 4.58543E-07, 3.62083E-07, 5.02497E-07
77, 1.73489E-05, 1.08952E-05, 5.12705E-06, 4.78306E-06, 5.74137E-07, 4.58273E-07, 3.61805E-07, 5.06507E-07
78, 1.74115E-05, 1.09242E-05, 5.10779E-06, 4.78643E-06, 5.73638E-07, 4.58003E-07, 3.61531E-07, 5.10566E-07
79, 1.74726E-05, 1.09527E-05, 5.08798E-06, 4.78955E-06, 5.73148E-07, 4.57733E-07, 3.61257E-07, 5.14675E-07
80, 1.75323E-05, 1.09807E-05, 5.06762E-06, 4.79244E-06, 5.72666E-07, 4.57461E-07, 3.60983E-07, 5.18833E-07
81, 1.75904E-05, 1.10083E-05, 5.04672E-06, 4.79508E-06, 5.72189E-07, 4.57190E-07, 3.60710E-07, 5.23042E-07
82, 1.76471E-05, 1.10354E-05, 5.02528E-06, 4.79748E-06, 5.71711E-07, 4.56918E-07, 3.60439E-07, 5.27299E-07
83, 1.77023E-05, 1.10621E-05, 5.00330E-06, 4.79964E-06, 5.71237E-07, 4.56652E-07, 3.60169E-07, 5.31602E-07
84, 1.77560E-05, 1.10883E-05, 4.98078E-06, 4.80156E-06, 5.70756E-07, 4.56388E-07, 3.59901E-07, 5.35956E-07
85, 1.78082E-05, 1.11140E-05, 4.95774E-06, 4.80324E-06, 5.70267E-07, 4.56123E-07, 3.59637E-07, 5.40359E-07
86, 1.78589E-05, 1.11393E-05, 4.93416E-06, 4.80468E-06, 5.69772E-07, 4.55866E-07, 3.59376E-07, 5.44811E-07
87, 1.79081E-05, 1.11641E-05, 4.91006E-06, 4.81049E-06, 5.69286E-07, 4.55622E-07, 3.59112E-07, 5.49310E-07
88, 1.79558E-05, 1.11884E-05, 4.88544E-06, 4.83052E-06, 5.68801E-07, 4.55384E-07, 3.58845E-07, 5.53857E-07
89, 1.80019E-05, 1.12123E-05, 4.87872E-06, 4.85037E-06, 5.68318E-07, 4.55141E-07, 3.58581E-07, 5.58450E-07
90, 1.80465E-05, 1.12356E-05, 4.87872E-06, 4.87004E-06, 5.67829E-07, 4.54891E-07, 3.58315E-07, 5.63094E-07
91, 1.80896E-05, 1.12585E-05, 4.87812E-06, 4.88954E-06, 5.67343E-07, 4.54647E-07, 3.58049E-07, 5.67784E-07
92, 1.81312E-05, 1.12809E-05, 4.87691E-06, 4.90886E-06, 5.66855E-07, 4.54397E-07, 3.57782E-07, 5.72518E-07
93, 1.81837E-05, 1.13029E-05, 4.87509E-06, 4.92800E-06, 5.66368E-07, 4.54147E-07, 3.57513E-07, 5.77299E-07
94, 1.82949E-05, 1.13243E-05, 4.87267E-06, 4.94694E-06, 5.65889E-07, 4.53898E-07, 3.57244E-07, 5.82125E-07
95, 1.84047E-05, 1.13453E-05, 4.86964E-06, 4.96571E-06, 5.65416E-07, 4.53649E-07, 3.56976E-07, 5.86999E-07
96, 1.85129E-05, 1.13657E-05, 4.86600E-06, 4.98428E-06, 5.64950E-07, 4.53400E-07, 3.56715E-07, 5.91926E-07
97, 1.86197E-05, 1.13857E-05, 4.86175E-06, 5.00265E-06, 5.64482E-07, 4.53152E-07, 3.56455E-07, 5.96902E-07
98, 1.87248E-05, 1.14051E-05, 4.85688E-06, 5.02083E-06, 5.64044E-07, 4.52902E-07, 3.56194E-07, 6.01927E-07
99, 1.88284E-05, 1.14241E-05, 4.85141E-06, 5.03882E-06, 5.63607E-07, 4.52651E-07, 3.55931E-07, 6.06996E-07
100, 1.89305E-05, 1.14426E-05, 4.84533E-06, 5.05660E-06, 5.63168E-07, 4.52403E-07, 3.55668E-07, 6.12112E-07
101, 1.90309E-05, 1.14606E-05, 4.84273E-06, 5.07418E-06, 5.62724E-07, 4.52152E-07, 3.55409E-07, 6.17277E-07
102, 1.91298E-05, 1.14781E-05, 4.88294E-06, 5.09156E-06, 5.62275E-07, 4.51901E-07, 3.55149E-07, 6.22494E-07
103, 1.92270E-05, 1.14950E-05, 4.92318E-06, 5.10872E-06, 5.61830E-07, 4.51647E-07, 3.54894E-07, 6.27756E-07
104, 1.93226E-05, 1.15115E-05, 4.96344E-06, 5.12568E-06, 5.61384E-07, 4.51396E-07, 3.54640E-07, 6.33060E-07
105, 1.94165E-05, 1.15274E-05, 5.00371E-06, 5.14243E-06, 5.60927E-07, 4.51144E-07, 3.54384E-07, 6.38413E-07
106, 1.95088E-05, 1.15429E-05, 5.04400E-06, 5.15896E-06, 5.60465E-07, 4.50891E-07, 3.54130E-07, 6.43815E-07
107, 1.95994E-05, 1.15578E-05, 5.08429E-06, 5.17528E-06, 5.60002E-07, 4.50637E-07, 3.53874E-07, 6.49260E-07
108, 1.96883E-05, 1.15722E-05, 5.12458E-06, 5.19138E-06, 5.59540E-07, 4.50388E-07, 3.53618E-07, 6.54747E-07
109, 1.97755E-05, 1.15861E-05, 5.16487E-06, 5.20726E-06, 5.59070E-07, 4.50136E-07, 3.53363E-07, 6.60279E-07
110, 1.98610E-05, 1.15995E-05, 5.20515E-06, 5.22291E-06, 5.58595E-07, 4.49883E-07, 3.53107E-07, 6.65854E-07
111, 1.99448E-05, 1.16124E-05, 5.24541E-06, 5.23834E-06, 5.58111E-07, 4.49627E-07, 3.52849E-07, 6.71476E-07
112, 2.00269E-05, 1.16248E-05, 5.28566E-06, 5.25355E-06, 5.57630E-07, 4.49378E-07, 3.52594E-07, 6.77146E-07
113, 2.01072E-05, 1.16366E-05, 5.32587E-06, 5.26853E-06, 5.57145E-07, 4.49129E-07, 3.52336E-07, 6.82865E-07
114, 2.01857E-05, 1.16479E-05, 5.36606E-06, 5.28328E-06, 5.56665E-07, 4.48880E-07, 3.52078E-07, 6.88630E-07
115, 2.02625E-05, 1.16587E-05, 5.40621E-06, 5.29779E-06, 5.56182E-07, 4.48629E-07, 3.51819E-07, 6.94434E-07
116, 2.03375E-05, 1.16690E-05, 5.44632E-06, 5.31208E-06, 5.55714E-07, 4.48382E-07, 3.51560E-07, 7.00279E-07
117, 2.04108E-05, 1.16787E-05, 5.48638E-06, 5.32612E-06, 5.55255E-07, 4.48140E-07, 3.51300E-07, 7.06170E-07
118, 2.04822E-05, 1.16879E-05, 5.52639E-06, 5.33994E-06, 5.54794E-07, 4.47898E-07, 3.51040E-07, 7.12107E-07
119, 2.05518E-05, 1.16966E-05, 5.56633E-06, 5.35351E-06, 5.54332E-07, 4.47655E-07, 3.50780E-07, 7.18086E-07
120, 2.06197E-05, 1.17048E-05, 5.60622E-06, 5.36684E-06, 5.53868E-07, 4.47410E-07, 3.50519E-07, 7.24110E-07
121, 2.06857E-05, 1.17124E-05, 5.64603E-06, 5.37994E-06, 5.53401E-07, 4.47171E-07, 3.50255E-07, 7.30172E-07
122, 2.07498E-05, 1.17195E-05, 5.68577E-06, 5.39278E-06, 5.52937E-07, 4.46935E-07, 3.49990E-07, 7.36277E-07
123, 2.08122E-05, 1.17260E-05, 5.72543E-06, 5.40539E-06, 5.52472E-07, 4.46698E-07, 3.49724E-07, 7.42426E-07
124, 2.08727E-05, 1.17320E-05, 5.76500E-06, 5.41775E-06, 5.52005E-07, 4.46458E-07, 3.49460E-07, 7.48615E-07
125, 2.09314E-05, 1.17375E-05, 5.80448E-06, 5.42986E-06, 5.51536E-07, 4.46220E-07, 3.49197E-07, 7.54846E-07
126, 2.10542E-05, 1.17425E-05, 5.84386E-06, 5.44172E-06, 5.51078E-07, 4.45983E-07, 3.48933E-07, 7.61121E-07
127, 2.11800E-05, 1.17469E-05, 5.88313E-06, 5.45334E-06, 5.50641E-07, 4.45750E-07, 3.48670E-07, 7.67440E-07
128, 2.13054E-05, 1.17528E-05, 5.92230E-06, 5.46470E-06, 5.50201E-07, 4.45518E-07, 3.48408E-07, 7.73804E-07
129, 2.14302E-05, 1.17612E-05, 5.96134E-06, 5.47581E-06, 5.49752E-07, 4.45291E-07, 3.48147E-07, 7.80214E-07
130, 2.15544E-05, 1.17692E-05, 6.00027E-06, 5.48667E-06, 5.49304E-07, 4.45069E-07, 3.47890E-07, 7.86673E-07
131, 2.16781E-05, 1.17766E-05, 6.03906E-06, 5.49727E-06, 5.48854E-07, 4.44849E-07, 3.47633E-07, 7.93179E-07
132, 2.18012E-05, 1.17835E-05, 6.07772E-06, 5.50762E-06, 5.48394E-07, 4.44628E-07, 3.47376E-07, 7.99729E-07
133, 2.19238E-05, 1.17899E-05, 6.11624E-06, 5.51771E-06, 5.47930E-07, 4.44408E-07, 3.47121E-07, 8.06326E-07
134, 2.20457E-05, 1.17958E-05, 6.15461E-06, 5.52755E-06, 5.47464E-07, 4.44190E-07, 3.46869E-07, 8.12975E-07
135, 2.21670E-05, 1.18012E-05, 6.19283E-06, 5.53713E-06, 5.46994E-07, 4.43966E-07, 3.46618E-07, 8.19673E-07
136, 2.22877E-05, 1.18060E-05, 6.23089E-06, 5.54644E-06, 5.46522E-07, 4.43747E-07, 3.46366E-07, 8.26419E-07
137, 2.24077E-05, 1.18104E-05, 6.26879E-06, 5.55550E-06, 5.46071E-07, 4.43539E-07, 3.46114E-07, 8.33210E-07
138, 2.25271E-05, 1.18142E-05, 6.30651E-06, 5.56430E-06, 5.45620E-07, 4.43336E-07, 3.45865E-07, 8.40040E-07
139, 2.26458E-05, 1.18175E-05, 6.34405E-06, 5.57284E-06, 5.45181E-07, 4.43137E-07, 3.45619E-07, 8.46915E-07
140, 2.27638E-05, 1.18202E-05, 6.38141E-06, 5.58112E-06, 5.44773E-07, 4.42937E-07, 3.45376E-07, 8.53831E-07
141, 2.28811E-05, 1.18225E-05, 6.41858E-06, 5.58913E-06, 5.44389E-07, 4.42734E-07, 3.45133E-07, 8.60784E-07
142, 2.29977E-05, 1.18242E-05, 6.45555E-06, 5.59689E-06, 5.44009E-07, 4.42525E-07, 3.44893E-07, 8.67781E-07
143, 2.31136E-05, 1.18254E-05, 6.49232E-06, 5.60438E-06, 5.43628E-07, 4.42316E-07, 3.44656E-07, 8.74820E-07
144, 2.32288E-05, 1.18261E-05, 6.52888E-06, 5.61160E-06, 5.43239E-07, 4.42106E-07, 3.44422E-07, 8.81901E-07
145, 2.33431E-05, 1.18263E-05, 6.56522E-06, 5.61856E-06, 5.42847E-07, 4.41893E-07, 3.44191E-07, 8.89025E-07
146, 2.34567E-05, 1.18259E-05, 6.60134E-06, 5.62526E-06, 5.42454E-07, 4.41682E-07, 3.43959E-07, 8.96192E-07
