time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
55, 6.15287E-05, 3.68591E-05, 3.23397E-05, 6.90771E-05, 1.56911E-06, 2.00840E-06, 1.33960E-06, 1.42370E-05
56, 6.17625E-05, 3.68819E-05, 3.22683E-05, 6.83719E-05, 1.56781E-06, 2.00962E-06, 1.33820E-06, 1.39051E-05
57, 6.19924E-05, 3.69019E-05, 3.21960E-05, 6.76533E-05, 1.56654E-06, 2.01082E-06, 1.33681E-06, 1.35739E-05
58, 6.22184E-05, 3.69192E-05, 3.21228E-05, 6.69215E-05, 1.56530E-06, 2.01201E-06, 1.33543E-06, 1.32438E-05
59, 6.24405E-05, 3.69338E-05, 3.20487E-05, 6.61764E-05, 1.56410E-06, 2.01318E-06, 1.33407E-06, 1.29152E-05
60, 6.26587E-05, 3.69456E-05, 3.19737E-05, 6.54181E-05, 1.56296E-06, 2.01437E-06, 1.33271E-06, 1.25884E-05
61, 6.28729E-05, 3.69547E-05, 3.18979E-05, 6.46465E-05, 1.56188E-06, 2.01554E-06, 1.33137E-06, 1.22643E-05
62, 6.30831E-05, 3.69611E-05, 3.18212E-05, 6.38617E-05, 1.56084E-06, 2.01668E-06, 1.33004E-06, 1.19429E-05
63, 6.32894E-05, 3.69648E-05, 3.17436E-05, 6.30638E-05, 1.55984E-06, 2.01781E-06, 1.32872E-06, 1.16255E-05
64, 6.34917E-05, 3.69658E-05, 3.16652E-05, 6.22528E-05, 1.55887E-06, 2.01894E-06, 1.32741E-06, 1.13118E-05
65, 6.36899E-05, 3.69642E-05, 3.15860E-05, 6.14287E-05, 1.55792E-06, 2.02006E-06, 1.32610E-06, 1.10029E-05
66, 6.38841E-05, 3.69600E-05, 3.15059E-05, 6.05917E-05, 1.55701E-06, 2.02118E-06, 1.32482E-06, 1.06997E-05
67, 6.40742E-05, 3.69954E-05, 3.14249E-05, 5.97416E-05, 1.55613E-06, 2.02230E-06, 1.32355E-06, 1.04028E-05
68, 6.42603E-05, 3.71017E-05, 3.13431E-05, 5.88787E-05, 1.55526E-06, 2.02340E-06, 1.32230E-06, 1.01124E-05
69, 6.44423E-05, 3.72045E-05, 3.12605E-05, 5.80030E-05, 1.55441E-06, 2.02448E-06, 1.32105E-06, 9.82948E-06
70, 6.46203E-05, 3.73040E-05, 3.11770E-05, 5.71145E-05, 1.55359E-06, 2.02553E-06, 1.31982E-06, 9.55512E-06
71, 6.47941E-05, 3.74000E-05, 3.10927E-05, 5.62134E-05, 1.55280E-06, 2.02655E-06, 1.31860E-06, 9.28987E-06
72, 6.49638E-05, 3.74926E-05, 3.10076E-05, 5.53564E-05, 1.55204E-06, 2.02754E-06, 1.31739E-06, 9.03527E-06
73, 6.51294E-05, 3.75818E-05, 3.09217E-05, 5.48188E-05, 1.55130E-06, 2.02851E-06, 1.31620E-06, 8.79197E-06
74, 6.52909E-05, 3.76675E-05, 3.08349E-05, 5.51431E-05, 1.55063E-06, 2.02944E-06, 1.31502E-06, 8.56141E-06
75, 6.54482E-05, 3.77498E-05, 3.07474E-05, 5.54662E-05, 1.54998E-06, 2.03035E-06, 1.31386E-06, 8.34526E-06
76, 6.56014E-05, 3.78286E-05, 3.06590E-05, 5.57880E-05, 1.54934E-06, 2.03124E-06, 1.31272E-06, 8.14418E-06
77, 6.57504E-05, 3.79040E-05, 3.05699E-05, 5.61084E-05, 1.54871E-06, 2.03211E-06, 1.31159E-06, 7.96078E-06
78, 6.58952E-05, 3.79760E-05, 3.04799E-05, 5.64271E-05, 1.54809E-06, 2.03295E-06, 1.31047E-06, 7.79715E-06
79, 6.60359E-05, 3.80444E-05, 3.03892E-05, 5.67441E-05, 1.54749E-06, 2.03376E-06, 1.30933E-06, 7.65871E-06
80, 6.62301E-05, 3.81094E-05, 3.02977E-05, 5.70592E-05, 1.54690E-06, 2.03453E-06, 1.30820E-06, 7.54481E-06
81, 6.64359E-05, 3.81710E-05, 3.02054E-05, 5.73722E-05, 1.54632E-06, 2.03527E-06, 1.30710E-06, 7.45501E-06
82, 6.66373E-05, 3.82291E-05, 3.01124E-05, 5.76830E-05, 1.54578E-06, 2.03599E-06, 1.30601E-06, 7.38777E-06
83, 6.68344E-05, 3.82837E-05, 3.00186E-05, 5.79913E-05, 1.54528E-06, 2.03671E-06, 1.30492E-06, 7.34138E-06
84, 6.70270E-05, 3.83349E-05, 2.99240E-05, 5.82972E-05, 1.54480E-06, 2.03740E-06, 1.30385E-06, 7.31648E-06
85, 6.72307E-05, 3.83826E-05, 2.98287E-05, 5.86003E-05, 1.54433E-06, 2.03806E-06, 1.30279E-06, 7.31302E-06
86, 6.75801E-05, 3.84269E-05, 2.97326E-05, 5.89005E-05, 1.54387E-06, 2.03869E-06, 1.30174E-06, 7.33060E-06
87, 6.79259E-05, 3.84677E-05, 2.96358E-05, 5.91978E-05, 1.54339E-06, 2.03929E-06, 1.30070E-06, 7.36834E-06
88, 6.82682E-05, 3.85050E-05, 2.95383E-05, 5.94918E-05, 1.54292E-06, 2.03985E-06, 1.29966E-06, 7.42602E-06
89, 6.86069E-05, 3.85389E-05, 2.94400E-05, 5.97824E-05, 1.54246E-06, 2.04039E-06, 1.29862E-06, 7.50360E-06
90, 6.89421E-05, 3.85694E-05, 2.93410E-05, 6.00696E-05, 1.54201E-06, 2.04091E-06, 1.29759E-06, 7.60064E-06
91, 6.92736E-05, 3.85964E-05, 2.92413E-05, 6.03530E-05, 1.54155E-06, 2.04141E-06, 1.29656E-06, 7.71837E-06
92, 6.96015E-05, 3.86200E-05, 2.91409E-05, 6.06326E-05, 1.54110E-06, 2.04189E-06, 1.29555E-06, 7.85325E-06
93, 6.99257E-05, 3.86401E-05, 2.90398E-05, 6.09081E-05, 1.54065E-06, 2.04234E-06, 1.29453E-06, 8.00395E-06
94, 7.02462E-05, 3.86568E-05, 2.89380E-05, 6.11795E-05, 1.54021E-06, 2.04275E-06, 1.29351E-06, 8.16860E-06
95, 7.05630E-05, 3.86701E-05, 2.88355E-05, 6.14465E-05, 1.53980E-06, 2.04314E-06, 1.29248E-06, 8.34627E-06
96, 7.08761E-05, 3.86799E-05, 2.87323E-05, 6.17089E-05, 1.53942E-06, 2.04352E-06, 1.29145E-06, 8.53629E-06
97, 7.11855E-05, 3.86864E-05, 2.86285E-05, 6.19667E-05, 1.53906E-06, 2.04388E-06, 1.29043E-06, 8.73922E-06
98, 7.14911E-05, 3.86894E-05, 2.85240E-05, 6.22195E-05, 1.53872E-06, 2.04423E-06, 1.28941E-06, 8.95273E-06
99, 7.17929E-05, 3.86891E-05, 2.84188E-05, 6.24674E-05, 1.53840E-06, 2.04455E-06, 1.28839E-06, 9.17668E-06
100, 7.20909E-05, 3.86854E-05, 2.83130E-05, 6.27100E-05, 1.53808E-06, 2.04483E-06, 1.28738E-06, 9.40963E-06
101, 7.23851E-05, 3.86783E-05, 2.82479E-05, 6.29473E-05, 1.53777E-06, 2.04510E-06, 1.28636E-06, 9.65094E-06
102, 7.26754E-05, 3.86678E-05, 2.81881E-05, 6.34777E-05, 1.53749E-06, 2.04534E-06, 1.28535E-06, 9.90043E-06
103, 7.29619E-05, 3.86540E-05, 2.81270E-05, 6.42996E-05, 1.53722E-06, 2.04555E-06, 1.28435E-06, 1.01575E-05
104, 7.32445E-05, 3.86368E-05, 2.80770E-05, 6.51079E-05, 1.53697E-06, 2.04572E-06, 1.28335E-06, 1.04211E-05
105, 7.35233E-05, 3.86163E-05, 2.82803E-05, 6.59021E-05, 1.53672E-06, 2.04585E-06, 1.28238E-06, 1.06911E-05
106, 7.37981E-05, 3.85925E-05, 2.84810E-05, 6.66819E-05, 1.53649E-06, 2.04595E-06, 1.28142E-06, 1.09666E-05
107, 7.40691E-05, 3.85654E-05, 2.86791E-05, 6.74470E-05, 1.53629E-06, 2.04603E-06, 1.28047E-06, 1.12473E-05
108, 7.43361E-05, 3.85350E-05, 2.88744E-05, 6.81968E-05, 1.53609E-06, 2.04607E-06, 1.27950E-06, 1.15329E-05
109, 7.45992E-05, 3.85013E-05, 2.90670E-05, 6.89311E-05, 1.53590E-06, 2.04608E-06, 1.27854E-06, 1.18226E-05
110, 7.48583E-05, 3.84643E-05, 2.92567E-05, 6.96494E-05, 1.53571E-06, 2.04605E-06, 1.27758E-06, 1.21151E-05
111, 7.51134E-05, 3.84241E-05, 2.94436E-05, 7.03515E-05, 1.53554E-06, 2.04600E-06, 1.27661E-06, 1.24095E-05
112, 7.53646E-05, 3.85036E-05, 2.96275E-05, 7.10368E-05, 1.53538E-06, 2.04592E-06, 1.27564E-06, 1.27048E-05
113, 7.56118E-05, 3.85935E-05, 2.98085E-05, 7.17050E-05, 1.53524E-06, 2.04579E-06, 1.27466E-06, 1.30002E-05
114, 7.58550E-05, 3.86825E-05, 2.99864E-05, 7.23558E-05, 1.53512E-06, 2.04564E-06, 1.27369E-06, 1.32951E-05
115, 7.60942E-05, 3.87707E-05, 3.01612E-05, 7.30988E-05, 1.53502E-06, 2.04545E-06, 1.27272E-06, 1.35898E-05
116, 7.63294E-05, 3.88580E-05, 3.03329E-05, 7.39313E-05, 1.53491E-06, 2.04524E-06, 1.27175E-06, 1.38831E-05
117, 7.65606E-05, 3.89624E-05, 3.05014E-05, 7.47467E-05, 1.53482E-06, 2.04500E-06, 1.27080E-06, 1.41747E-05
118, 7.67877E-05, 3.91051E-05, 3.06667E-05, 7.55444E-05, 1.53472E-06, 2.04472E-06, 1.26986E-06, 1.44638E-05
119, 7.70108E-05, 3.92467E-05, 3.08287E-05, 7.63242E-05, 1.53462E-06, 2.04440E-06, 1.26892E-06, 1.47505E-05
120, 7.72298E-05, 3.93872E-05, 3.09874E-05, 7.70855E-05, 1.53453E-06, 2.04405E-06, 1.26798E-06, 1.50343E-05
121, 7.74448E-05, 3.95266E-05, 3.11428E-05, 7.78279E-05, 1.53447E-06, 2.04368E-06, 1.26706E-06, 1.53146E-05
122, 7.76557E-05, 3.96649E-05, 3.12947E-05, 7.85511E-05, 1.53445E-06, 2.04329E-06, 1.26613E-06, 1.55909E-05
123, 7.78625E-05, 3.98022E-05, 3.14432E-05, 7.92546E-05, 1.53444E-06, 2.04287E-06, 1.26521E-06, 1.58632E-05
124, 7.80653E-05, 3.99383E-05, 3.16082E-05, 7.99380E-05, 1.53443E-06, 2.04242E-06, 1.26429E-06, 1.61309E-05
125, 7.82640E-05, 4.00733E-05, 3.18483E-05, 8.06009E-05, 1.53443E-06, 2.04197E-06, 1.26338E-06, 1.63935E-05
126, 7.84586E-05, 4.02073E-05, 3.20862E-05, 8.12429E-05, 1.53446E-06, 2.04149E-06, 1.26247E-06, 1.66510E-05
127, 7.86492E-05, 4.03401E-05, 3.23220E-05, 8.18637E-05, 1.53450E-06, 2.04101E-06, 1.26157E-06, 1.69028E-05
128, 7.88356E-05, 4.04719E-05, 3.25556E-05, 8.24627E-05, 1.53455E-06, 2.04051E-06, 1.26067E-06, 1.71489E-05
129, 7.90180E-05, 4.06025E-05, 3.27869E-05, 8.30397E-05, 1.53460E-06, 2.03999E-06, 1.25977E-06, 1.73890E-05
130, 7.91962E-05, 4.07321E-05, 3.30158E-05, 8.35943E-05, 1.53466E-06, 2.03945E-06, 1.25886E-06, 1.76229E-05
131, 7.93704E-05, 4.08605E-05, 3.32425E-05, 8.43017E-05, 1.53475E-06, 2.03891E-06, 1.25797E-06, 1.78502E-05
132, 7.95404E-05, 4.09879E-05, 3.34667E-05, 8.50465E-05, 1.53488E-06, 2.03835E-06, 1.25708E-06, 1.80709E-05
133, 7.97064E-05, 4.11141E-05, 3.36884E-05, 8.57690E-05, 1.53505E-06, 2.03778E-06, 1.25620E-06, 1.82848E-05
134, 7.98683E-05, 4.12393E-05, 3.39076E-05, 8.64690E-05, 1.53524E-06, 2.03720E-06, 1.25532E-06, 1.84918E-05
135, 8.00260E-05, 4.13633E-05, 3.41242E-05, 8.71459E-05, 1.53543E-06, 2.03660E-06, 1.25445E-06, 1.86915E-05
136, 8.01797E-05, 4.14863E-05, 3.43382E-05, 8.77994E-05, 1.53562E-06, 2.03598E-06, 1.25358E-06, 1.88837E-05
137, 8.03293E-05, 4.16081E-05, 3.45496E-05, 8.84290E-05, 1.53583E-06, 2.03535E-06, 1.25271E-06, 1.90680E-05
138, 8.04748E-05, 4.17289E-05, 3.47582E-05, 8.90344E-05, 1.53604E-06, 2.03470E-06, 1.25185E-06, 1.92444E-05
139, 8.06161E-05, 4.18485E-05, 3.49640E-05, 8.96150E-05, 1.53626E-06, 2.03406E-06, 1.25099E-06, 1.94129E-05
140, 8.07534E-05, 4.19671E-05, 3.51671E-05, 9.01706E-05, 1.53649E-06, 2.03339E-06, 1.25015E-06, 1.95735E-05
