time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
68, 1.70301E-05, 1.05427E-05, 5.30651E-06, 4.57115E-05, 5.81155E-07, 4.62239E-07, 3.66402E-07, 4.76576E-06
69, 1.70643E-05, 1.05719E-05, 5.29197E-06, 4.92706E-05, 5.80278E-07, 4.61930E-07, 3.66130E-07, 4.08986E-06
70, 1.70971E-05, 1.06030E-05, 5.27612E-06, 5.01909E-05, 5.79353E-07, 4.61566E-07, 3.65791E-07, 3.71244E-06
71, 1.71277E-05, 1.06358E-05, 5.25909E-06, 4.85781E-05, 5.78428E-07, 4.61183E-07, 3.65437E-07, 3.53324E-06
72, 1.71555E-05, 1.06704E-05, 5.24101E-06, 4.46619E-05, 5.77524E-07, 4.60797E-07, 3.65067E-07, 3.50431E-06
73, 1.71799E-05, 1.07063E-05, 5.22201E-06, 3.87701E-05, 5.76653E-07, 4.60417E-07, 3.64679E-07, 3.60031E-06
74, 1.72192E-05, 1.07435E-05, 5.20220E-06, 3.13015E-05, 5.75839E-07, 4.60040E-07, 3.64278E-07, 3.76973E-06
75, 1.72910E-05, 1.07815E-05, 5.18167E-06, 2.39388E-05, 5.75113E-07, 4.59676E-07, 3.63880E-07, 4.01917E-06
76, 1.73584E-05, 1.08200E-05, 5.16050E-06, 2.14414E-05, 5.74498E-07, 4.59319E-07, 3.63489E-07, 4.35440E-06
77, 1.74212E-05, 1.08587E-05, 5.13874E-06, 2.14858E-05, 5.73955E-07, 4.58960E-07, 3.63074E-07, 4.72518E-06
78, 1.74796E-05, 1.08972E-05, 5.11642E-06, 2.49485E-05, 5.73458E-07, 4.58600E-07, 3.62624E-07, 5.16308E-06
79, 1.75338E-05, 1.09353E-05, 5.09358E-06, 2.77195E-05, 5.73004E-07, 4.58264E-07, 3.62150E-07, 5.58463E-06
80, 1.75842E-05, 1.09725E-05, 5.07023E-06, 3.00177E-05, 5.72619E-07, 4.57965E-07, 3.61667E-07, 5.94099E-06
81, 1.76311E-05, 1.10088E-05, 5.04639E-06, 3.36449E-05, 5.72299E-07, 4.57716E-07, 3.61185E-07, 6.22483E-06
82, 1.76752E-05, 1.10439E-05, 5.02209E-06, 3.60659E-05, 5.72004E-07, 4.57511E-07, 3.60715E-07, 6.43010E-06
83, 1.77170E-05, 1.10777E-05, 4.99736E-06, 3.78907E-05, 5.71738E-07, 4.57352E-07, 3.60270E-07, 6.55789E-06
84, 1.77571E-05, 1.11100E-05, 4.97225E-06, 4.03126E-05, 5.71501E-07, 4.57264E-07, 3.59867E-07, 6.59203E-06
85, 1.77961E-05, 1.11409E-05, 4.94681E-06, 4.12803E-05, 5.71277E-07, 4.57248E-07, 3.59525E-07, 6.52316E-06
86, 1.78346E-05, 1.11702E-05, 4.92110E-06, 4.08785E-05, 5.71042E-07, 4.57280E-07, 3.59233E-07, 6.35459E-06
87, 1.78729E-05, 1.11980E-05, 4.89517E-06, 3.92405E-05, 5.70820E-07, 4.57385E-07, 3.59020E-07, 6.10481E-06
88, 1.79114E-05, 1.12244E-05, 4.86910E-06, 3.65365E-05, 5.70574E-07, 4.57502E-07, 3.58854E-07, 5.78646E-06
89, 1.79505E-05, 1.12493E-05, 4.85995E-06, 3.29632E-05, 5.70262E-07, 4.57579E-07, 3.58710E-07, 5.41004E-06
90, 1.79902E-05, 1.12729E-05, 4.85950E-06, 2.87315E-05, 5.69872E-07, 4.57580E-07, 3.58566E-07, 5.00444E-06
91, 1.80307E-05, 1.12953E-05, 4.85893E-06, 2.40559E-05, 5.69410E-07, 4.57498E-07, 3.58414E-07, 4.56348E-06
92, 1.80718E-05, 1.13166E-05, 4.85824E-06, 2.27757E-05, 5.68891E-07, 4.57340E-07, 3.58258E-07, 4.08689E-06
93, 1.81276E-05, 1.13368E-05, 4.85739E-06, 2.16691E-05, 5.68311E-07, 4.57101E-07, 3.58087E-07, 3.58497E-06
94, 1.82424E-05, 1.13561E-05, 4.85635E-06, 1.98978E-05, 5.67698E-07, 4.56785E-07, 3.57901E-07, 3.14030E-06
95, 1.83573E-05, 1.13747E-05, 4.85504E-06, 1.75171E-05, 5.67072E-07, 4.56412E-07, 3.57704E-07, 2.81105E-06
96, 1.84719E-05, 1.13924E-05, 4.85340E-06, 1.46026E-05, 5.66448E-07, 4.55995E-07, 3.57500E-07, 2.56056E-06
97, 1.85858E-05, 1.14096E-05, 4.85134E-06, 1.66290E-05, 5.65819E-07, 4.55532E-07, 3.57281E-07, 2.38140E-06
98, 1.86987E-05, 1.14262E-05, 4.84878E-06, 1.82468E-05, 5.65221E-07, 4.55040E-07, 3.57051E-07, 2.29842E-06
99, 1.88102E-05, 1.14424E-05, 4.84565E-06, 1.90983E-05, 5.64631E-07, 4.54534E-07, 3.56808E-07, 2.38646E-06
100, 1.89200E-05, 1.14581E-05, 4.84185E-06, 1.92803E-05, 5.64048E-07, 4.54015E-07, 3.56553E-07, 2.67354E-06
