time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
63, 9.29481E-04, 6.20873E-04, 3.33622E-04, 1.88943E-03, 3.70708E-05, 2.91410E-05, 2.35499E-05, 3.16674E-04
64, 9.44562E-04, 6.32052E-04, 3.38106E-04, 1.88799E-03, 3.76301E-05, 2.95857E-05, 2.39122E-05, 3.16580E-04
65, 9.62360E-04, 6.43236E-04, 3.42525E-04, 1.88658E-03, 3.81891E-05, 3.00298E-05, 2.42741E-05, 3.16470E-04
66, 9.80155E-04, 6.54424E-04, 3.46877E-04, 1.88518E-03, 3.87473E-05, 3.04734E-05, 2.46355E-05, 3.16347E-04
67, 9.97941E-04, 6.65612E-04, 3.51162E-04, 1.88381E-03, 3.93053E-05, 3.09164E-05, 2.49966E-05, 3.16210E-04
68, 1.01571E-03, 6.76801E-04, 3.55377E-04, 1.88246E-03, 3.98626E-05, 3.13587E-05, 2.53573E-05, 3.16058E-04
69, 1.03347E-03, 6.87986E-04, 3.59521E-04, 1.88112E-03, 4.04191E-05, 3.18003E-05, 2.57177E-05, 3.15891E-04
70, 1.05120E-03, 6.99168E-04, 3.63592E-04, 1.87982E-03, 4.09754E-05, 3.22415E-05, 2.60778E-05, 3.15711E-04
71, 1.06891E-03, 7.10344E-04, 3.67589E-04, 1.87853E-03, 4.15304E-05, 3.26824E-05, 2.64377E-05, 3.15516E-04
72, 1.08658E-03, 7.21512E-04, 3.71509E-04, 1.87727E-03, 4.20842E-05, 3.31228E-05, 2.67975E-05, 3.15308E-04
73, 1.10422E-03, 7.32670E-04, 3.75351E-04, 1.87603E-03, 4.26373E-05, 3.35627E-05, 2.71572E-05, 3.15087E-04
74, 1.12182E-03, 7.43817E-04, 3.79113E-04, 1.87481E-03, 4.31896E-05, 3.40020E-05, 2.75167E-05, 3.14852E-04
75, 1.13937E-03, 7.54951E-04, 3.82795E-04, 1.87362E-03, 4.37413E-05, 3.44406E-05, 2.78758E-05, 3.14601E-04
76, 1.15687E-03, 7.66070E-04, 3.86394E-04, 1.87245E-03, 4.42922E-05, 3.48787E-05, 2.82345E-05, 3.14337E-04
77, 1.17432E-03, 7.77173E-04, 3.89908E-04, 1.87130E-03, 4.48420E-05, 3.53160E-05, 2.85925E-05, 3.14059E-04
78, 1.19171E-03, 7.88256E-04, 3.93337E-04, 1.87018E-03, 4.53910E-05, 3.57530E-05, 2.89503E-05, 3.13767E-04
79, 1.20904E-03, 7.99320E-04, 3.96678E-04, 1.86908E-03, 4.59393E-05, 3.61891E-05, 2.93077E-05, 3.13462E-04
80, 1.22630E-03, 8.10361E-04, 3.99931E-04, 1.86801E-03, 4.64884E-05, 3.66241E-05, 2.96653E-05, 3.13145E-04
81, 1.24349E-03, 8.21378E-04, 4.03094E-04, 1.86696E-03, 4.70369E-05, 3.70587E-05, 3.00228E-05, 3.12816E-04
82, 1.26060E-03, 8.32370E-04, 4.06164E-04, 1.86593E-03, 4.75844E-05, 3.74930E-05, 3.03802E-05, 3.12473E-04
83, 1.27763E-03, 8.43333E-04, 4.09142E-04, 1.86494E-03, 4.81311E-05, 3.79269E-05, 3.07372E-05, 3.12116E-04
84, 1.29458E-03, 8.54268E-04, 4.12025E-04, 1.86396E-03, 4.86770E-05, 3.83604E-05, 3.10939E-05, 3.11744E-04
85, 1.31143E-03, 8.65171E-04, 4.14812E-04, 1.86302E-03, 4.92217E-05, 3.87935E-05, 3.14505E-05, 3.11357E-04
86, 1.32820E-03, 8.76041E-04, 4.17502E-04, 1.86209E-03, 4.97657E-05, 3.92262E-05, 3.18071E-05, 3.10957E-04
87, 1.34487E-03, 8.86877E-04, 4.21391E-04, 1.86120E-03, 5.03090E-05, 3.96587E-05, 3.21637E-05, 3.10547E-04
88, 1.36143E-03, 8.97676E-04, 4.26301E-04, 1.86033E-03, 5.08510E-05, 4.00908E-05, 3.25200E-05, 3.10127E-04
89, 1.37789E-03, 9.08436E-04, 4.31158E-04, 1.85949E-03, 5.13920E-05, 4.05223E-05, 3.28759E-05, 3.09697E-04
90, 1.39552E-03, 9.19157E-04, 4.35962E-04, 1.85867E-03, 5.19340E-05, 4.09530E-05, 3.32311E-05, 3.09256E-04
91, 1.41757E-03, 9.29835E-04, 4.40710E-04, 1.85789E-03, 5.24750E-05, 4.13834E-05, 3.35860E-05, 3.08802E-04
92, 1.43963E-03, 9.40470E-04, 4.45400E-04, 1.85713E-03, 5.30149E-05, 4.18131E-05, 3.39403E-05, 3.08337E-04
93, 1.46167E-03, 9.51060E-04, 4.50031E-04, 1.85639E-03, 5.35535E-05, 4.22423E-05, 3.42943E-05, 3.07860E-04
94, 1.48369E-03, 9.61602E-04, 4.54601E-04, 1.85569E-03, 5.40905E-05, 4.26710E-05, 3.46477E-05, 3.07372E-04
95, 1.50570E-03, 9.72095E-04, 4.59107E-04, 1.85501E-03, 5.46266E-05, 4.31001E-05, 3.50006E-05, 3.06874E-04
96, 1.52767E-03, 9.82537E-04, 4.63549E-04, 1.85436E-03, 5.51619E-05, 4.35283E-05, 3.53530E-05, 3.06366E-04
97, 1.54962E-03, 9.92927E-04, 4.67923E-04, 1.85374E-03, 5.56970E-05, 4.39561E-05, 3.57049E-05, 3.05850E-04
98, 1.57152E-03, 1.00326E-03, 4.72229E-04, 1.85315E-03, 5.62310E-05, 4.43837E-05, 3.60567E-05, 3.05326E-04
99, 1.59339E-03, 1.01354E-03, 4.76464E-04, 1.85258E-03, 5.67644E-05, 4.48105E-05, 3.64081E-05, 3.04792E-04
100, 1.61520E-03, 1.02376E-03, 4.80627E-04, 1.85205E-03, 5.72976E-05, 4.52367E-05, 3.67590E-05, 3.04251E-04
101, 1.63695E-03, 1.03393E-03, 4.84716E-04, 1.85154E-03, 5.78304E-05, 4.56619E-05, 3.71095E-05, 3.03702E-04
102, 1.65865E-03, 1.04403E-03, 4.88728E-04, 1.85107E-03, 5.83623E-05, 4.60868E-05, 3.74597E-05, 3.03148E-04
103, 1.68028E-03, 1.05407E-03, 4.92663E-04, 1.85062E-03, 5.88939E-05, 4.65112E-05, 3.78095E-05, 3.02587E-04
104, 1.70183E-03, 1.06404E-03, 4.96519E-04, 1.85020E-03, 5.94245E-05, 4.69352E-05, 3.81593E-05, 3.02019E-04
105, 1.72331E-03, 1.07395E-03, 5.00293E-04, 1.84982E-03, 5.99549E-05, 4.73596E-05, 3.85087E-05, 3.01446E-04
106, 1.74471E-03, 1.08379E-03, 5.03985E-04, 1.84946E-03, 6.04845E-05, 4.77831E-05, 3.88576E-05, 3.00866E-04
107, 1.76602E-03, 1.09356E-03, 5.07592E-04, 1.84913E-03, 6.10130E-05, 4.82064E-05, 3.92064E-05, 3.00282E-04
108, 1.78723E-03, 1.10326E-03, 5.11112E-04, 1.84884E-03, 6.15408E-05, 4.86293E-05, 3.95551E-05, 2.99696E-04
109, 1.80834E-03, 1.11289E-03, 5.14544E-04, 1.84857E-03, 6.20674E-05, 4.90516E-05, 3.99034E-05, 2.99107E-04
110, 1.82935E-03, 1.12244E-03, 5.17887E-04, 1.84956E-03, 6.25930E-05, 4.94733E-05, 4.02515E-05, 2.98516E-04
111, 1.85025E-03, 1.13191E-03, 5.21139E-04, 1.85066E-03, 6.31176E-05, 4.98945E-05, 4.05991E-05, 2.97921E-04
112, 1.87103E-03, 1.14131E-03, 5.24297E-04, 1.85178E-03, 6.36413E-05, 5.03152E-05, 4.09460E-05, 2.97322E-04
113, 1.89170E-03, 1.15063E-03, 5.27361E-04, 1.85293E-03, 6.41639E-05, 5.07355E-05, 4.12923E-05, 2.96721E-04
114, 1.91223E-03, 1.15986E-03, 5.30329E-04, 1.85411E-03, 6.46854E-05, 5.11547E-05, 4.16380E-05, 2.96122E-04
115, 1.93264E-03, 1.16902E-03, 5.33200E-04, 1.85533E-03, 6.52067E-05, 5.15732E-05, 4.19835E-05, 2.95525E-04
116, 1.95291E-03, 1.17809E-03, 5.35971E-04, 1.85657E-03, 6.57277E-05, 5.19907E-05, 4.23286E-05, 2.94928E-04
117, 1.97303E-03, 1.18707E-03, 5.38641E-04, 1.85784E-03, 6.62483E-05, 5.24079E-05, 4.26732E-05, 2.94332E-04
118, 1.99301E-03, 1.19597E-03, 5.41210E-04, 1.85915E-03, 6.67686E-05, 5.28245E-05, 4.30173E-05, 2.93740E-04
119, 2.01284E-03, 1.20478E-03, 5.43674E-04, 1.86048E-03, 6.72877E-05, 5.32403E-05, 4.33608E-05, 2.93152E-04
120, 2.03251E-03, 1.21349E-03, 5.46034E-04, 1.86185E-03, 6.78061E-05, 5.36562E-05, 4.37037E-05, 2.92570E-04
121, 2.05201E-03, 1.22212E-03, 5.48287E-04, 1.86324E-03, 6.83240E-05, 5.40716E-05, 4.40460E-05, 2.91992E-04
122, 2.07135E-03, 1.23065E-03, 5.50433E-04, 1.86467E-03, 6.88409E-05, 5.44862E-05, 4.43883E-05, 2.91418E-04
123, 2.09052E-03, 1.23909E-03, 5.52469E-04, 1.86613E-03, 6.93566E-05, 5.49000E-05, 4.47309E-05, 2.90852E-04
124, 2.10951E-03, 1.24743E-03, 5.57006E-04, 1.86762E-03, 6.98714E-05, 5.53139E-05, 4.50733E-05, 2.90294E-04
125, 2.12832E-03, 1.25567E-03, 5.62226E-04, 1.86915E-03, 7.03853E-05, 5.57273E-05, 4.54155E-05, 2.89743E-04
126, 2.14694E-03, 1.26381E-03, 5.67390E-04, 1.87070E-03, 7.08997E-05, 5.61403E-05, 4.57577E-05, 2.89201E-04
127, 2.16537E-03, 1.27185E-03, 5.72497E-04, 1.87229E-03, 7.14142E-05, 5.65529E-05, 4.61003E-05, 2.88668E-04
128, 2.18361E-03, 1.27979E-03, 5.77546E-04, 1.87391E-03, 7.19286E-05, 5.69649E-05, 4.64431E-05, 2.88149E-04
129, 2.20164E-03, 1.28763E-03, 5.82535E-04, 1.87556E-03, 7.24434E-05, 5.73765E-05, 4.67861E-05, 2.87640E-04
130, 2.21947E-03, 1.29536E-03, 5.87463E-04, 1.87724E-03, 7.29571E-05, 5.77882E-05, 4.71288E-05, 2.87144E-04
131, 2.23709E-03, 1.30298E-03, 5.92328E-04, 1.87896E-03, 7.34707E-05, 5.81990E-05, 4.74714E-05, 2.86664E-04
132, 2.25449E-03, 1.31050E-03, 5.97129E-04, 1.88071E-03, 7.39839E-05, 5.86093E-05, 4.78139E-05, 2.86197E-04
133, 2.27167E-03, 1.31791E-03, 6.01865E-04, 1.88249E-03, 7.44964E-05, 5.90200E-05, 4.81560E-05, 2.85746E-04
