time_step, rms_u, rms_v, rms_w, rms_p
123, 4.46184E-01, 4.74304E-01, 6.22561E-01, 2.67950E-01
124, 4.46116E-01, 4.74243E-01, 6.22568E-01, 2.67890E-01
125, 4.46048E-01, 4.74183E-01, 6.22574E-01, 2.67831E-01
126, 4.45980E-01, 4.74122E-01, 6.22580E-01, 2.67771E-01
127, 4.45912E-01, 4.74062E-01, 6.22587E-01, 2.67712E-01
128, 4.45844E-01, 4.74001E-01, 6.22593E-01, 2.67653E-01
129, 4.45776E-01, 4.73941E-01, 6.22599E-01, 2.67594E-01
130, 4.45707E-01, 4.73881E-01, 6.22606E-01, 2.67534E-01
131, 4.45639E-01, 4.73821E-01, 6.22612E-01, 2.67475E-01
132, 4.45571E-01, 4.73761E-01, 6.22618E-01, 2.67416E-01
133, 4.45503E-01, 4.73701E-01, 6.22625E-01, 2.67357E-01
134, 4.45434E-01, 4.73641E-01, 6.22631E-01, 2.67299E-01
135, 4.45366E-01, 4.73581E-01, 6.22637E-01, 2.67240E-01
136, 4.45298E-01, 4.73521E-01, 6.22643E-01, 2.67181E-01
137, 4.45229E-01, 4.73462E-01, 6.22650E-01, 2.67123E-01
138, 4.45161E-01, 4.73402E-01, 6.22656E-01, 2.67064E-01
139, 4.45093E-01, 4.73343E-01, 6.22662E-01, 2.67006E-01
140, 4.45024E-01, 4.73283E-01, 6.22668E-01, 2.66947E-01
141, 4.44956E-01, 4.73224E-01, 6.22674E-01, 2.66889E-01
142, 4.44887E-01, 4.73165E-01, 6.22681E-01, 2.66831E-01
143, 4.44819E-01, 4.73106E-01, 6.22687E-01, 2.66773E-01
144, 4.44750E-01, 4.73047E-01, 6.22693E-01, 2.66715E-01
145, 4.44682E-01, 4.72988E-01, 6.22699E-01, 2.66657E-01
146, 4.44613E-01, 4.72929E-01, 6.22705E-01, 2.66599E-01
147, 4.44545E-01, 4.72870E-01, 6.22711E-01, 2.66541E-01
148, 4.44476E-01, 4.72812E-01, 6.22718E-01, 2.66483E-01
149, 4.44407E-01, 4.72753E-01, 6.22724E-01, 2.66426E-01
150, 4.44339E-01, 4.72694E-01, 6.22730E-01, 2.66368E-01
151, 4.44270E-01, 4.72636E-01, 6.22736E-01, 2.66310E-01
152, 4.44202E-01, 4.72578E-01, 6.22742E-01, 2.66253E-01
153, 4.44133E-01, 4.72519E-01, 6.22748E-01, 2.66196E-01
154, 4.44064E-01, 4.72461E-01, 6.22754E-01, 2.66138E-01
155, 4.43995E-01, 4.72403E-01, 6.22760E-01, 2.66081E-01
156, 4.43927E-01, 4.72345E-01, 6.22766E-01, 2.66024E-01
157, 4.43858E-01, 4.72287E-01, 6.22772E-01, 2.65967E-01
158, 4.43789E-01, 4.72229E-01, 6.22779E-01, 2.65910E-01
159, 4.43720E-01, 4.72171E-01, 6.22785E-01, 2.65853E-01
160, 4.43652E-01, 4.72114E-01, 6.22791E-01, 2.65796E-01
161, 4.43583E-01, 4.72056E-01, 6.22797E-01, 2.65740E-01
162, 4.43514E-01, 4.71999E-01, 6.22803E-01, 2.65683E-01
163, 4.43445E-01, 4.71941E-01, 6.22809E-01, 2.65626E-01
164, 4.43376E-01, 4.71884E-01, 6.22815E-01, 2.65570E-01
165, 4.43307E-01, 4.71827E-01, 6.22821E-01, 2.65513E-01
166, 4.43238E-01, 4.71769E-01, 6.22827E-01, 2.65457E-01
167, 4.43170E-01, 4.71712E-01, 6.22832E-01, 2.65401E-01
168, 4.43101E-01, 4.71655E-01, 6.22838E-01, 2.65344E-01
169, 4.43032E-01, 4.71598E-01, 6.22844E-01, 2.65288E-01
170, 4.42963E-01, 4.71541E-01, 6.22850E-01, 2.65232E-01
171, 4.42894E-01, 4.71485E-01, 6.22856E-01, 2.65176E-01
172, 4.42825E-01, 4.71428E-01, 6.22862E-01, 2.65120E-01
173, 4.42756E-01, 4.71371E-01, 6.22868E-01, 2.65064E-01
174, 4.42687E-01, 4.71315E-01, 6.22874E-01, 2.65009E-01
175, 4.42618E-01, 4.71259E-01, 6.22880E-01, 2.64953E-01
176, 4.42549E-01, 4.71202E-01, 6.22886E-01, 2.64897E-01
177, 4.42479E-01, 4.71146E-01, 6.22892E-01, 2.64842E-01
178, 4.42410E-01, 4.71090E-01, 6.22897E-01, 2.64786E-01
179, 4.42341E-01, 4.71034E-01, 6.22903E-01, 2.64731E-01
180, 4.42272E-01, 4.70978E-01, 6.22909E-01, 2.64676E-01
181, 4.42203E-01, 4.70922E-01, 6.22915E-01, 2.64620E-01
182, 4.42134E-01, 4.70866E-01, 6.22921E-01, 2.64565E-01
183, 4.42065E-01, 4.70810E-01, 6.22926E-01, 2.64510E-01
184, 4.41996E-01, 4.70754E-01, 6.22932E-01, 2.64455E-01
185, 4.41926E-01, 4.70699E-01, 6.22938E-01, 2.64400E-01
186, 4.41857E-01, 4.70643E-01, 6.22944E-01, 2.64345E-01
187, 4.41788E-01, 4.70588E-01, 6.22949E-01, 2.64290E-01
188, 4.41719E-01, 4.70533E-01, 6.22955E-01, 2.64235E-01
189, 4.41650E-01, 4.70477E-01, 6.22961E-01, 2.64181E-01
190, 4.41580E-01, 4.70422E-01, 6.22967E-01, 2.64126E-01
191, 4.41511E-01, 4.70367E-01, 6.22972E-01, 2.64072E-01
192, 4.41442E-01, 4.70312E-01, 6.22978E-01, 2.64017E-01
