time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
58, 3.90729E-03, 2.36348E-03, 1.08082E-03, 3.70815E-03, 1.31681E-04, 1.04127E-04, 8.47351E-05, 5.92785E-04
59, 3.98874E-03, 2.39974E-03, 1.09181E-03, 3.71310E-03, 1.33767E-04, 1.05799E-04, 8.61150E-05, 5.90381E-04
60, 4.06901E-03, 2.43531E-03, 1.10197E-03, 3.71830E-03, 1.35849E-04, 1.07466E-04, 8.74914E-05, 5.87992E-04
61, 4.14801E-03, 2.47015E-03, 1.11129E-03, 3.72374E-03, 1.37924E-04, 1.09130E-04, 8.88630E-05, 5.85642E-04
62, 4.22567E-03, 2.50423E-03, 1.11973E-03, 3.72944E-03, 1.39992E-04, 1.10789E-04, 9.02333E-05, 5.83325E-04
63, 4.30190E-03, 2.53755E-03, 1.13592E-03, 3.73539E-03, 1.42051E-04, 1.12444E-04, 9.16036E-05, 5.81071E-04
64, 4.37664E-03, 2.57006E-03, 1.15662E-03, 3.74159E-03, 1.44109E-04, 1.14097E-04, 9.29735E-05, 5.78876E-04
65, 4.44979E-03, 2.60175E-03, 1.17685E-03, 3.74805E-03, 1.46169E-04, 1.15746E-04, 9.43457E-05, 5.76768E-04
66, 4.52129E-03, 2.63260E-03, 1.19659E-03, 3.75477E-03, 1.48226E-04, 1.17393E-04, 9.57171E-05, 5.74754E-04
67, 4.59107E-03, 2.66258E-03, 1.21581E-03, 3.76175E-03, 1.50280E-04, 1.19036E-04, 9.70874E-05, 5.72860E-04
68, 4.65905E-03, 2.69167E-03, 1.23449E-03, 3.76899E-03, 1.52328E-04, 1.20680E-04, 9.84537E-05, 5.71091E-04
69, 4.72516E-03, 2.71985E-03, 1.25262E-03, 3.77649E-03, 1.54370E-04, 1.22318E-04, 9.98168E-05, 5.69462E-04
70, 4.79531E-03, 2.74710E-03, 1.27016E-03, 3.78426E-03, 1.56407E-04, 1.23952E-04, 1.01180E-04, 5.68021E-04
71, 4.89473E-03, 2.77339E-03, 1.28711E-03, 3.79230E-03, 1.58437E-04, 1.25584E-04, 1.02540E-04, 5.66798E-04
72, 4.99397E-03, 2.79872E-03, 1.30344E-03, 3.80060E-03, 1.60471E-04, 1.27210E-04, 1.03898E-04, 5.65834E-04
73, 5.09297E-03, 2.84760E-03, 1.31914E-03, 3.80917E-03, 1.62506E-04, 1.28838E-04, 1.05253E-04, 5.65157E-04
74, 5.19166E-03, 2.89875E-03, 1.33418E-03, 3.81802E-03, 1.64535E-04, 1.30463E-04, 1.06605E-04, 5.64780E-04
75, 5.28998E-03, 2.94964E-03, 1.34855E-03, 3.82713E-03, 1.66557E-04, 1.32084E-04, 1.07954E-04, 5.64737E-04
76, 5.38785E-03, 3.00024E-03, 1.36302E-03, 3.83651E-03, 1.68572E-04, 1.33697E-04, 1.09301E-04, 5.65045E-04
77, 5.48522E-03, 3.05053E-03, 1.37823E-03, 3.84616E-03, 1.70577E-04, 1.35305E-04, 1.10642E-04, 5.65718E-04
78, 5.58201E-03, 3.10047E-03, 1.39271E-03, 3.86371E-03, 1.72574E-04, 1.36906E-04, 1.11979E-04, 5.66780E-04
