time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
101, 2.12089E-03, 1.74386E-03, 7.31314E-04, 2.25979E-04, 2.08791E-05, 2.13559E-05, 1.45453E-05, 7.23217E-05
102, 2.19251E-03, 1.75477E-03, 7.39615E-04, 2.22459E-04, 2.07970E-05, 2.12681E-05, 1.44784E-05, 6.86172E-05
103, 2.25647E-03, 1.76225E-03, 7.44583E-04, 2.19099E-04, 2.07147E-05, 2.11793E-05, 1.44109E-05, 6.51712E-05
104, 2.31269E-03, 1.76635E-03, 7.46257E-04, 2.15913E-04, 2.06272E-05, 2.10892E-05, 1.43432E-05, 6.19946E-05
105, 2.36114E-03, 1.76714E-03, 7.44698E-04, 2.13074E-04, 2.05391E-05, 2.09983E-05, 1.42738E-05, 5.90952E-05
106, 2.40183E-03, 1.76470E-03, 7.39988E-04, 2.10580E-04, 2.04486E-05, 2.09074E-05, 1.42021E-05, 5.64709E-05
107, 2.43481E-03, 1.75911E-03, 7.32229E-04, 2.08652E-04, 2.03597E-05, 2.08147E-05, 1.41291E-05, 5.41179E-05
108, 2.46019E-03, 1.75050E-03, 7.21540E-04, 2.07353E-04, 2.02847E-05, 2.07203E-05, 1.40553E-05, 5.20281E-05
109, 2.47807E-03, 1.73895E-03, 7.08056E-04, 2.06196E-04, 2.02109E-05, 2.06264E-05, 1.39831E-05, 5.01870E-05
110, 2.48862E-03, 1.72461E-03, 6.91929E-04, 2.05164E-04, 2.01397E-05, 2.05306E-05, 1.39130E-05, 4.85799E-05
111, 2.49204E-03, 1.70757E-03, 6.73323E-04, 2.04241E-04, 2.00680E-05, 2.04351E-05, 1.38434E-05, 4.71871E-05
112, 2.48852E-03, 1.68799E-03, 6.52415E-04, 2.03406E-04, 1.99953E-05, 2.03393E-05, 1.37721E-05, 4.59881E-05
113, 2.47832E-03, 1.66599E-03, 6.29392E-04, 2.02639E-04, 1.99197E-05, 2.02386E-05, 1.37004E-05, 4.49610E-05
114, 2.46171E-03, 1.64172E-03, 6.04448E-04, 2.01919E-04, 1.98424E-05, 2.01364E-05, 1.36301E-05, 4.40815E-05
115, 2.43896E-03, 1.61530E-03, 5.77787E-04, 2.01223E-04, 1.97652E-05, 2.00343E-05, 1.35601E-05, 4.33274E-05
116, 2.41039E-03, 1.58689E-03, 5.49615E-04, 2.00782E-04, 1.96889E-05, 1.99327E-05, 1.34890E-05, 4.26758E-05
117, 2.37631E-03, 1.55662E-03, 5.61621E-04, 2.00464E-04, 1.96106E-05, 1.98316E-05, 1.34175E-05, 4.21045E-05
118, 2.33705E-03, 1.52465E-03, 5.72668E-04, 2.00107E-04, 1.95319E-05, 1.97280E-05, 1.33472E-05, 4.15927E-05
119, 2.29296E-03, 1.49111E-03, 5.81477E-04, 2.00363E-04, 1.94522E-05, 1.96248E-05, 1.32790E-05, 4.11213E-05
120, 2.24440E-03, 1.45614E-03, 5.88074E-04, 2.00729E-04, 1.93708E-05, 1.95201E-05, 1.32114E-05, 4.06729E-05
121, 2.19175E-03, 1.41988E-03, 5.92470E-04, 2.00994E-04, 1.92871E-05, 1.94156E-05, 1.31486E-05, 4.02321E-05
122, 2.13534E-03, 1.38248E-03, 5.94705E-04, 2.01142E-04, 1.92017E-05, 1.93131E-05, 1.30851E-05, 3.97846E-05
123, 2.07554E-03, 1.34406E-03, 5.94831E-04, 2.01162E-04, 1.91150E-05, 1.92113E-05, 1.30233E-05, 3.93206E-05
124, 2.01269E-03, 1.30476E-03, 5.92910E-04, 2.01042E-04, 1.90324E-05, 1.91079E-05, 1.29612E-05, 3.88293E-05
125, 1.94717E-03, 1.26470E-03, 5.89014E-04, 2.00792E-04, 1.89528E-05, 1.90037E-05, 1.28995E-05, 3.83018E-05
126, 1.87934E-03, 1.22401E-03, 5.83227E-04, 2.00808E-04, 1.88767E-05, 1.88974E-05, 1.28386E-05, 3.77335E-05
127, 1.80954E-03, 1.18281E-03, 5.75637E-04, 2.00665E-04, 1.88037E-05, 1.87926E-05, 1.27776E-05, 3.71215E-05
128, 1.73812E-03, 1.14122E-03, 5.66343E-04, 2.00362E-04, 1.87337E-05, 1.86884E-05, 1.27184E-05, 3.64628E-05
129, 1.66541E-03, 1.09935E-03, 5.55448E-04, 1.99898E-04, 1.86663E-05, 1.85820E-05, 1.26604E-05, 3.57558E-05
130, 1.59174E-03, 1.05729E-03, 5.43064E-04, 1.99273E-04, 1.86017E-05, 1.84746E-05, 1.26023E-05, 3.50025E-05
131, 1.51742E-03, 1.01516E-03, 5.29305E-04, 1.98491E-04, 1.85422E-05, 1.83685E-05, 1.25440E-05, 3.42056E-05
132, 1.48313E-03, 9.73049E-04, 5.14289E-04, 1.97555E-04, 1.84915E-05, 1.82642E-05, 1.24855E-05, 3.33679E-05
133, 1.46115E-03, 9.31049E-04, 4.98138E-04, 1.96470E-04, 1.84397E-05, 1.81620E-05, 1.24277E-05, 3.24949E-05
134, 1.43488E-03, 8.89245E-04, 4.80977E-04, 1.95242E-04, 1.83863E-05, 1.80625E-05, 1.23705E-05, 3.15918E-05
135, 1.40467E-03, 8.47720E-04, 4.62929E-04, 1.94393E-04, 1.83303E-05, 1.79638E-05, 1.23149E-05, 3.06646E-05
136, 1.37089E-03, 8.06548E-04, 4.44120E-04, 1.94255E-04, 1.82729E-05, 1.78649E-05, 1.22617E-05, 2.97201E-05
137, 1.33391E-03, 7.65800E-04, 4.24675E-04, 1.93979E-04, 1.82139E-05, 1.77654E-05, 1.22081E-05, 2.87650E-05
138, 1.29410E-03, 7.25540E-04, 4.04717E-04, 1.93571E-04, 1.81550E-05, 1.76661E-05, 1.21541E-05, 2.78063E-05
139, 1.25182E-03, 6.85830E-04, 3.84367E-04, 1.93036E-04, 1.80970E-05, 1.75670E-05, 1.20995E-05, 2.68506E-05
140, 1.20744E-03, 6.46724E-04, 3.63745E-04, 1.92381E-04, 1.80376E-05, 1.74722E-05, 1.20456E-05, 2.59040E-05
141, 1.16133E-03, 6.08272E-04, 3.42965E-04, 1.91611E-04, 1.79762E-05, 1.73767E-05, 1.19929E-05, 2.49731E-05
142, 1.11382E-03, 5.70606E-04, 3.22138E-04, 1.90731E-04, 1.79151E-05, 1.72804E-05, 1.19409E-05, 2.40629E-05
143, 1.06525E-03, 5.55256E-04, 3.01370E-04, 1.89747E-04, 1.78543E-05, 1.71846E-05, 1.18898E-05, 2.31793E-05
144, 1.01596E-03, 5.39510E-04, 2.80763E-04, 1.88663E-04, 1.77934E-05, 1.70884E-05, 1.18392E-05, 2.23255E-05
145, 9.66258E-04, 5.23444E-04, 2.60411E-04, 1.87691E-04, 1.77337E-05, 1.69941E-05, 1.17914E-05, 2.15058E-05
146, 9.16436E-04, 5.07133E-04, 2.40405E-04, 1.86852E-04, 1.76788E-05, 1.69002E-05, 1.17436E-05, 2.07232E-05
147, 8.66776E-04, 4.90648E-04, 2.20826E-04, 1.85918E-04, 1.76226E-05, 1.68061E-05, 1.16950E-05, 1.99850E-05
148, 8.17544E-04, 4.74057E-04, 2.01750E-04, 1.84891E-04, 1.75654E-05, 1.67124E-05, 1.16460E-05, 1.92924E-05
149, 7.68982E-04, 4.57425E-04, 1.83248E-04, 1.83774E-04, 1.75074E-05, 1.66200E-05, 1.15971E-05, 1.86481E-05
150, 7.21316E-04, 4.40812E-04, 1.72386E-04, 1.82570E-04, 1.74532E-05, 1.65282E-05, 1.15486E-05, 1.80565E-05
151, 6.74751E-04, 4.24276E-04, 1.71988E-04, 1.81281E-04, 1.73990E-05, 1.64368E-05, 1.15022E-05, 1.75169E-05
152, 6.29474E-04, 4.17099E-04, 1.71807E-04, 1.80437E-04, 1.73442E-05, 1.63461E-05, 1.14568E-05, 1.70298E-05
153, 5.99722E-04, 4.15100E-04, 1.72045E-04, 1.80025E-04, 1.72876E-05, 1.62580E-05, 1.14113E-05, 1.65999E-05
154, 6.04457E-04, 4.12512E-04, 1.72157E-04, 1.79586E-04, 1.72334E-05, 1.61725E-05, 1.13649E-05, 1.62233E-05
155, 6.07130E-04, 4.09352E-04, 1.72144E-04, 1.79477E-04, 1.71810E-05, 1.60863E-05, 1.13186E-05, 1.58962E-05
156, 6.07756E-04, 4.05637E-04, 1.72008E-04, 1.79268E-04, 1.71274E-05, 1.60009E-05, 1.12719E-05, 1.56168E-05
157, 6.06369E-04, 4.01385E-04, 1.71749E-04, 1.78959E-04, 1.70736E-05, 1.59168E-05, 1.12254E-05, 1.53787E-05
158, 6.03004E-04, 3.96616E-04, 1.72881E-04, 1.78549E-04, 1.70255E-05, 1.58318E-05, 1.11791E-05, 1.51782E-05
159, 5.97709E-04, 3.91349E-04, 1.74148E-04, 1.78037E-04, 1.69796E-05, 1.57465E-05, 1.11333E-05, 1.50161E-05
160, 5.90545E-04, 3.86350E-04, 1.75294E-04, 1.77424E-04, 1.69342E-05, 1.56618E-05, 1.10886E-05, 1.48894E-05
161, 5.81585E-04, 3.81232E-04, 1.76317E-04, 1.76709E-04, 1.68882E-05, 1.55788E-05, 1.10455E-05, 1.48001E-05
162, 5.70910E-04, 3.75647E-04, 1.77215E-04, 1.75892E-04, 1.68418E-05, 1.55008E-05, 1.10023E-05, 1.47494E-05
163, 5.58610E-04, 3.71121E-04, 1.77987E-04, 1.74974E-04, 1.67940E-05, 1.54288E-05, 1.09590E-05, 1.47459E-05
164, 5.44782E-04, 3.70153E-04, 1.78633E-04, 1.73954E-04, 1.67461E-05, 1.53576E-05, 1.09158E-05, 1.47874E-05
165, 5.29530E-04, 3.68672E-04, 1.79152E-04, 1.72834E-04, 1.66977E-05, 1.52844E-05, 1.08731E-05, 1.48709E-05
166, 5.12964E-04, 3.66687E-04, 1.79544E-04, 1.71615E-04, 1.66490E-05, 1.52111E-05, 1.08298E-05, 1.49900E-05
167, 4.95198E-04, 3.64208E-04, 1.79810E-04, 1.70380E-04, 1.65999E-05, 1.51386E-05, 1.07873E-05, 1.51382E-05
168, 4.76351E-04, 3.61247E-04, 1.79951E-04, 1.70603E-04, 1.65513E-05, 1.50677E-05, 1.07479E-05, 1.53105E-05
169, 4.56544E-04, 3.57815E-04, 1.79967E-04, 1.70707E-04, 1.65044E-05, 1.49978E-05, 1.07096E-05, 1.55027E-05
170, 4.35900E-04, 3.53925E-04, 1.79860E-04, 1.70692E-04, 1.64586E-05, 1.49270E-05, 1.06720E-05, 1.57134E-05
