time_step, rms_u, rms_v, rms_w, rms_p
214, 4.78861E-01, 5.31561E-01, 6.19847E-01, 3.25433E-01
215, 4.78519E-01, 5.30099E-01, 6.19795E-01, 3.23867E-01
216, 4.78159E-01, 5.28636E-01, 6.19753E-01, 3.22323E-01
217, 4.77781E-01, 5.27173E-01, 6.19719E-01, 3.20801E-01
218, 4.77384E-01, 5.25708E-01, 6.19694E-01, 3.19298E-01
219, 4.76968E-01, 5.24244E-01, 6.19676E-01, 3.17815E-01
220, 4.76533E-01, 5.22780E-01, 6.19667E-01, 3.16350E-01
221, 4.76078E-01, 5.21317E-01, 6.19666E-01, 3.14903E-01
222, 4.75604E-01, 5.19855E-01, 6.19672E-01, 3.13472E-01
223, 4.75109E-01, 5.18395E-01, 6.19686E-01, 3.12056E-01
224, 4.74594E-01, 5.16937E-01, 6.19706E-01, 3.10654E-01
225, 4.74058E-01, 5.15483E-01, 6.19733E-01, 3.09266E-01
226, 4.73502E-01, 5.14032E-01, 6.19767E-01, 3.07889E-01
227, 4.72924E-01, 5.12585E-01, 6.19808E-01, 3.06524E-01
228, 4.72325E-01, 5.11144E-01, 6.19854E-01, 3.05168E-01
229, 4.71705E-01, 5.09708E-01, 6.19906E-01, 3.03822E-01
230, 4.71064E-01, 5.08279E-01, 6.19964E-01, 3.02485E-01
231, 4.70401E-01, 5.06857E-01, 6.20027E-01, 3.01155E-01
232, 4.69717E-01, 5.05443E-01, 6.20095E-01, 2.99832E-01
233, 4.69012E-01, 5.04038E-01, 6.20168E-01, 2.98517E-01
234, 4.68285E-01, 5.02643E-01, 6.20245E-01, 2.97208E-01
235, 4.67538E-01, 5.01258E-01, 6.20327E-01, 2.95906E-01
236, 4.66769E-01, 4.99885E-01, 6.20413E-01, 2.94611E-01
237, 4.65980E-01, 4.98523E-01, 6.20502E-01, 2.93323E-01
238, 4.65170E-01, 4.97175E-01, 6.20595E-01, 2.92042E-01
239, 4.64340E-01, 4.95840E-01, 6.20691E-01, 2.90769E-01
240, 4.63491E-01, 4.94520E-01, 6.20790E-01, 2.89504E-01
241, 4.62623E-01, 4.93215E-01, 6.20891E-01, 2.88248E-01
242, 4.61736E-01, 4.91925E-01, 6.20994E-01, 2.87003E-01
243, 4.60830E-01, 4.90653E-01, 6.21100E-01, 2.85768E-01
244, 4.59908E-01, 4.89398E-01, 6.21207E-01, 2.84545E-01
245, 4.58968E-01, 4.88160E-01, 6.21315E-01, 2.83334E-01
246, 4.58012E-01, 4.86941E-01, 6.21425E-01, 2.82137E-01
247, 4.57041E-01, 4.85741E-01, 6.21535E-01, 2.80955E-01
248, 4.56056E-01, 4.84561E-01, 6.21645E-01, 2.79788E-01
249, 4.55056E-01, 4.83400E-01, 6.21756E-01, 2.78638E-01
250, 4.54044E-01, 4.82259E-01, 6.21867E-01, 2.77505E-01
251, 4.53019E-01, 4.81139E-01, 6.21977E-01, 2.76391E-01
252, 4.51984E-01, 4.80040E-01, 6.22086E-01, 2.75295E-01
253, 4.50938E-01, 4.78962E-01, 6.22195E-01, 2.74218E-01
254, 4.49882E-01, 4.77904E-01, 6.22302E-01, 2.73161E-01
255, 4.48818E-01, 4.76869E-01, 6.22408E-01, 2.72125E-01
256, 4.47746E-01, 4.75854E-01, 6.22513E-01, 2.71109E-01
257, 4.46668E-01, 4.74861E-01, 6.22615E-01, 2.70113E-01
258, 4.45583E-01, 4.73890E-01, 6.22716E-01, 2.69139E-01
259, 4.44492E-01, 4.72940E-01, 6.22814E-01, 2.68184E-01
260, 4.43398E-01, 4.72011E-01, 6.22910E-01, 2.67250E-01
261, 4.42299E-01, 4.71104E-01, 6.23004E-01, 2.66335E-01
262, 4.41197E-01, 4.70218E-01, 6.23095E-01, 2.65440E-01
263, 4.40093E-01, 4.69353E-01, 6.23183E-01, 2.64563E-01
264, 4.38986E-01, 4.68509E-01, 6.23268E-01, 2.63705E-01
265, 4.37879E-01, 4.67687E-01, 6.23350E-01, 2.62864E-01
266, 4.36770E-01, 4.66885E-01, 6.23429E-01, 2.62040E-01
267, 4.35661E-01, 4.66104E-01, 6.23504E-01, 2.61232E-01
268, 4.34552E-01, 4.65344E-01, 6.23576E-01, 2.60439E-01
269, 4.33443E-01, 4.64605E-01, 6.23645E-01, 2.59660E-01
270, 4.32334E-01, 4.63886E-01, 6.23710E-01, 2.58894E-01
271, 4.31226E-01, 4.63188E-01, 6.23771E-01, 2.58141E-01
272, 4.30119E-01, 4.62510E-01, 6.23828E-01, 2.57400E-01
273, 4.29013E-01, 4.61853E-01, 6.23881E-01, 2.56670E-01
274, 4.27908E-01, 4.61216E-01, 6.23930E-01, 2.55949E-01
275, 4.26804E-01, 4.60600E-01, 6.23975E-01, 2.55238E-01
276, 4.25701E-01, 4.60005E-01, 6.24016E-01, 2.54535E-01
277, 4.24599E-01, 4.59430E-01, 6.24052E-01, 2.53841E-01
278, 4.23498E-01, 4.58877E-01, 6.24084E-01, 2.53153E-01
279, 4.22398E-01, 4.58344E-01, 6.24111E-01, 2.52472E-01
280, 4.21298E-01, 4.57832E-01, 6.24133E-01, 2.51797E-01
281, 4.20198E-01, 4.57341E-01, 6.24150E-01, 2.51127E-01
282, 4.19098E-01, 4.56872E-01, 6.24163E-01, 2.50463E-01
283, 4.17998E-01, 4.56424E-01, 6.24170E-01, 2.49803E-01
284, 4.16898E-01, 4.55998E-01, 6.24173E-01, 2.49148E-01
285, 4.15797E-01, 4.55593E-01, 6.24170E-01, 2.48497E-01
286, 4.14695E-01, 4.55210E-01, 6.24163E-01, 2.47849E-01
287, 4.13592E-01, 4.54849E-01, 6.24150E-01, 2.47206E-01
288, 4.12488E-01, 4.54511E-01, 6.24133E-01, 2.46566E-01
289, 4.11382E-01, 4.54194E-01, 6.24111E-01, 2.45929E-01
290, 4.10275E-01, 4.53899E-01, 6.24084E-01, 2.45296E-01
291, 4.09165E-01, 4.53627E-01, 6.24052E-01, 2.44665E-01
292, 4.08054E-01, 4.53377E-01, 6.24016E-01, 2.44038E-01
293, 4.06941E-01, 4.53149E-01, 6.23975E-01, 2.43414E-01
294, 4.05825E-01, 4.52944E-01, 6.23929E-01, 2.42793E-01
295, 4.04708E-01, 4.52760E-01, 6.23879E-01, 2.42174E-01
296, 4.03588E-01, 4.52599E-01, 6.23825E-01, 2.41558E-01
297, 4.02465E-01, 4.52460E-01, 6.23767E-01, 2.40945E-01
298, 4.01341E-01, 4.52342E-01, 6.23705E-01, 2.40334E-01
299, 4.00214E-01, 4.52246E-01, 6.23640E-01, 2.39726E-01
300, 3.99085E-01, 4.52172E-01, 6.23570E-01, 2.39120E-01
301, 3.97954E-01, 4.52118E-01, 6.23497E-01, 2.38516E-01
302, 3.96821E-01, 4.52086E-01, 6.23420E-01, 2.37913E-01
303, 3.95685E-01, 4.52075E-01, 6.23339E-01, 2.37312E-01
304, 3.94548E-01, 4.52084E-01, 6.23256E-01, 2.36712E-01
305, 3.93409E-01, 4.52114E-01, 6.23168E-01, 2.36113E-01
306, 3.92268E-01, 4.52163E-01, 6.23078E-01, 2.35515E-01
307, 3.91125E-01, 4.52232E-01, 6.22984E-01, 2.34917E-01
308, 3.89981E-01, 4.52321E-01, 6.22887E-01, 2.34319E-01
309, 3.88835E-01, 4.52429E-01, 6.22787E-01, 2.33722E-01
310, 3.87688E-01, 4.52556E-01, 6.22684E-01, 2.33123E-01
311, 3.86540E-01, 4.52702E-01, 6.22577E-01, 2.32524E-01
312, 3.85390E-01, 4.52866E-01, 6.22468E-01, 2.31924E-01
313, 3.84239E-01, 4.53049E-01, 6.22355E-01, 2.31323E-01
314, 3.83087E-01, 4.53249E-01, 6.22240E-01, 2.30720E-01
315, 3.81935E-01, 4.53467E-01, 6.22121E-01, 2.30117E-01
316, 3.80781E-01, 4.53703E-01, 6.21999E-01, 2.29512E-01
317, 3.79627E-01, 4.53956E-01, 6.21874E-01, 2.28905E-01
318, 3.78472E-01, 4.54226E-01, 6.21745E-01, 2.28298E-01
319, 3.77317E-01, 4.54513E-01, 6.21614E-01, 2.27689E-01
320, 3.76161E-01, 4.54816E-01, 6.21479E-01, 2.27079E-01
321, 3.75006E-01, 4.55137E-01, 6.21341E-01, 2.26468E-01
322, 3.73850E-01, 4.55474E-01, 6.21199E-01, 2.25857E-01
323, 3.72694E-01, 4.55827E-01, 6.21054E-01, 2.25246E-01
324, 3.71538E-01, 4.56197E-01, 6.20905E-01, 2.24636E-01
325, 3.70382E-01, 4.56583E-01, 6.20753E-01, 2.24026E-01
326, 3.69226E-01, 4.56985E-01, 6.20596E-01, 2.23418E-01
327, 3.68072E-01, 4.57403E-01, 6.20436E-01, 2.22812E-01
328, 3.66917E-01, 4.57837E-01, 6.20272E-01, 2.22208E-01
329, 3.65763E-01, 4.58288E-01, 6.20103E-01, 2.21608E-01
330, 3.64611E-01, 4.58754E-01, 6.19930E-01, 2.21012E-01
331, 3.63459E-01, 4.59237E-01, 6.19752E-01, 2.20421E-01
332, 3.62308E-01, 4.59735E-01, 6.19570E-01, 2.19835E-01
333, 3.61158E-01, 4.60250E-01, 6.19383E-01, 2.19256E-01
334, 3.60009E-01, 4.60780E-01, 6.19190E-01, 2.18683E-01
335, 3.58862E-01, 4.61326E-01, 6.18993E-01, 2.18119E-01
336, 3.57717E-01, 4.61888E-01, 6.18789E-01, 2.17563E-01
337, 3.56573E-01, 4.62466E-01, 6.18580E-01, 2.17016E-01
338, 3.55431E-01, 4.63059E-01, 6.18366E-01, 2.16479E-01
339, 3.54291E-01, 4.63669E-01, 6.18145E-01, 2.15953E-01
340, 3.53152E-01, 4.64293E-01, 6.17917E-01, 2.15439E-01
341, 3.52016E-01, 4.64934E-01, 6.17683E-01, 2.14936E-01
342, 3.50882E-01, 4.65589E-01, 6.17443E-01, 2.14447E-01
343, 3.49751E-01, 4.66260E-01, 6.17196E-01, 2.13970E-01
344, 3.48622E-01, 4.66946E-01, 6.16941E-01, 2.13507E-01
345, 3.47495E-01, 4.67647E-01, 6.16679E-01, 2.13059E-01
346, 3.46372E-01, 4.68363E-01, 6.16410E-01, 2.12625E-01
347, 3.45251E-01, 4.69094E-01, 6.16134E-01, 2.12207E-01
348, 3.44133E-01, 4.69839E-01, 6.15849E-01, 2.11804E-01
349, 3.43019E-01, 4.70598E-01, 6.15557E-01, 2.11417E-01
350, 3.41907E-01, 4.71372E-01, 6.15257E-01, 2.11047E-01
351, 3.40800E-01, 4.72159E-01, 6.14948E-01, 2.10694E-01
352, 3.39696E-01, 4.72960E-01, 6.14631E-01, 2.10358E-01
353, 3.38597E-01, 4.73775E-01, 6.14305E-01, 2.10039E-01
354, 3.37501E-01, 4.74603E-01, 6.13971E-01, 2.09739E-01
355, 3.36410E-01, 4.75444E-01, 6.13628E-01, 2.09456E-01
356, 3.35323E-01, 4.76297E-01, 6.13276E-01, 2.09192E-01
357, 3.34242E-01, 4.77163E-01, 6.12915E-01, 2.08947E-01
358, 3.33165E-01, 4.78041E-01, 6.12544E-01, 2.08721E-01
359, 3.32094E-01, 4.78930E-01, 6.12164E-01, 2.08515E-01
360, 3.31028E-01, 4.79832E-01, 6.11775E-01, 2.08328E-01
361, 3.29969E-01, 4.80744E-01, 6.11376E-01, 2.08162E-01
362, 3.28916E-01, 4.81667E-01, 6.10968E-01, 2.08016E-01
363, 3.27869E-01, 4.82601E-01, 6.10549E-01, 2.07890E-01
364, 3.26829E-01, 4.83545E-01, 6.10121E-01, 2.07786E-01
365, 3.25796E-01, 4.84499E-01, 6.09683E-01, 2.07703E-01
